,site_id,geometry,name
10,12309,"POLYGON Z ((37.214507635275375 56.02149336676591 257.1071267109364, 37.223547577738614 56.02750732130835 254.9264382608235, 37.22490528539909 56.027733990631255 227.2985598454252, 37.214507635275375 56.02149336676591 257.1071267109364))",MENDELEEVO
11,12313,"POLYGON Z ((104.31618595064597 52.2190200481549 502.04246969427913, 104.31639074092551 52.21913835040907 505.63402727339417, 104.31624406638879 52.21902361883939 502.3443170655519, 104.31618595064597 52.2190200481549 502.04246969427913))",Irkoutsk
12,12329,"POLYGON Z ((142.71679232414016 47.02969656327175 90.77806424722075, 142.71672171677568 47.02973391195437 91.29166477918625, 142.71679282407314 47.029696779672705 90.95873988233507, 142.71679232414016 47.02969656327175 90.77806424722075))",Yuzhno-Sakhalin
13,12334,"POLYGON Z ((66.88667993056563 39.133381208861366 623.0795747097582, 66.88486254000429 39.13366447114572 629.4359598774463, 66.88486237586547 39.133664512862886 630.2060166457668, 66.8853940803701 39.134734279619536 623.3654112778604, 66.88544856648888 39.134767345276906 622.4797986391932, 66.88673765604828 39.13338626182315 620.6461930740625, 66.88667993056563 39.133381208861366 623.0795747097582))",Kitab
14,12337,"POLYGON Z ((33.96946740723316 44.3928898887452 67.36932333558798, 33.99161051031454 44.415356794400424 386.4758349461481, 33.99098525693285 44.41326078983625 365.79708693455905, 33.99095561151122 44.413188070835304 364.3661127919331, 33.979576837632294 44.39755323657118 50.20091036334634, 33.970129196375765 44.393174488173905 68.12579479068518, 33.96946740723316 44.3928898887452 67.36932333558798))",Simeiz
15,12338,"POLYGON Z ((102.23498721511311 51.76970470336481 811.4122473476455, 102.23493536627355 51.76972348686579 812.53104697261, 102.23493531279937 51.76972351165573 812.3111864235252, 102.2339224993692 51.770260760243914 821.6125880042091, 102.23536268348586 51.7700335141322 803.346978331916, 102.23498721511311 51.76970470336481 811.4122473476455))",Badary
16,12349,"POLYGON Z ((92.79351671532484 55.99322960328031 216.8517068075016, 92.79351407090965 55.99323063230172 216.85390011966228, 92.79383559347733 55.99324947174594 210.04327310156077, 92.79351671532484 55.99322960328031 216.8517068075016))",Krasnoyarsk
17,12350,"POLYGON Z ((29.781944110628256 60.53234626901105 86.04700335208327, 29.780878834065355 60.53286320734243 76.68728006351739, 29.780456825419275 60.53315528284981 69.06252097990364, 29.77948547000055 60.53429638418243 82.27478360943496, 29.781944110628256 60.53234626901105 86.04700335208327))",Svetloe
18,12351,"POLYGON Z ((41.565167900852224 43.78781119700501 1175.063189310953, 41.56506933115781 43.788393870970935 1166.2853422015905, 41.56538484641677 43.78866997567542 1155.4174492638558, 41.565167900852224 43.78781119700501 1175.063189310953))",ZELENCHUKSKAYA
19,12602,"POLYGON Z ((23.932888103308592 38.07840499045458 513.568995594047, 23.932434535528206 38.07855285576119 510.56674421578646, 23.932466973549325 38.07859269091135 510.5530795454979, 23.93288240040124 38.07844384454563 512.7957193022594, 23.932888103308592 38.07840499045458 513.568995594047))",Dionysos
